medicine_name,public_price_lbp,public_price_usd,agent_name,is_subsidized,subsidy_category,registration_no,strength,presentation
"5-FLUOROURACIL EBEWE",653107,7.30,"Khalil Fattal & Fils S.A.L.",1,"Stratum A1","66316/1","1000mg","1"
"5-FROTU",577852,6.46,"Germanos Health Care Supplies SARL",1,"Stratum A1","98322/1","1000mg/20ml","1Vial for single use"
"7.5% DEXTROSE INJECTION USP",222941,2.49,"A Pharma Solutions SAL",0,"","81222/1","","Non Pvc 500ml"
"9% SODIUM CHLORIDE",280400,3.13,"A Pharma Solutions SAL",0,"","81322/1","","1000ml"
"A.B.C NIGHT",222694,2.49,"Riad Pharmacy",1,"Stratum A1","148323/1","","20"
"A.B.C.-COLD",534977,5.98,"Riad Pharmacy",1,"Stratum A1","70720/1","","20"
"A.S HEART",148463,1.66,"Riad Pharmacy",1,"Stratum A1","167320/1","81mg","30"
"ABILIFY MAINTENA",29491998,329.52,"Sadco",0,"Stratum D","42316/1","400mg","1Vial of powder +1Vial of 2ml solvent"
"ABIPREX 10",1075074,12.01,"Benta Trading Co s.a.l.",1,"Stratum B","77116/1","10mg","30"
"ABIPREX 15",1075074,12.01,"Benta Trading Co s.a.l.",1,"Stratum B","77216/1","15mg","30"
"ABIRATERONE ACETATE NEAPOLIS",75418662,842.67,"Medis Pharm Drugstore",1,"Stratum E2","91022/1","250mg","120"
"ABIRATERONE ACETATE SPC",73748373,824.00,"Advanced Healthcare Services SAL",1,"Stratum E2","6421/1","250mg","120"
"ABLAX 250",45056853,503.43,"Benta Trading Co s.a.l.",1,"Stratum E1","113920/1","250mg","120"
"ABLAX 500",45056853,503.43,"Benta Trading Co s.a.l.",1,"Stratum E1","152623/1","500mg","60"
"ABRAXANE",17850751,199.45,"Droguerie de l'Union",0,"Stratum D","93321/1","5mg/ml","1 Vial"
"ABREMIA",77478802,865.68,"Droguerie de l'Union",1,"Stratum E1","52919/1","250mg","120"
"ABRILADA",40259574,449.83,"Mersaco",1,"Stratum E1","147822/1","40mg","2prefilled syringes 0.8ml + 2alcohol pads"
"ABRILADA",40259574,449.83,"Mersaco",1,"Stratum E1","147922/1","40mg","2prefilled pens 0.8ml + 2alcohol pads"
"ABRYSVO",22650721,253.08,"Mersaco",0,"Stratum D","53425/1","","1Vial with powder, 1Pre-filled syringe of solvent, 1Vial adapter, 1needle"
"ABSORICA LIDOSE",1827045,20.41,"Pharmamedic S.A.R.L.",1,"Stratum B","28325/1","16mg","30"
"ABSTRAL",3419743,38.21,"Droguerie Mercury S.A.L.",1,"Stratum B","43417/1","100mcg","10"
"ABSTRAL",5261143,58.78,"Droguerie Mercury S.A.L.",1,"Stratum B","43217/1","200mcg","10"
"ACAMPROSATE BIOGARAN",3641813,40.69,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum B","128817/1","333mg","180"
"ACARIZAX 12 SQ-HDM ORAL LYOPHILISATE",9366451,104.65,"Droguerie de l'Union",1,"Stratum C","71121/1","","30 (3x10)"
"ACC LONG",286238,3.20,"Khalil Fattal & Fils S.A.L.",1,"Stratum A1","23624/06","","10"
"ACEBUTOLOL BIOGARAN",615480,6.88,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A1","102221/1","400mg","30"
"ACEBUTOLOL BIOGARAN",464970,5.20,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A1","102121/1","200mg","30"
"ACECLOFAR",131697,1.47,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","24684/07","100mg","10"
"ACETAZOLAMIDE",1001163,11.19,"Promopharm S.A.R.L.",1,"Stratum A2","53923/1","250mg","100"
"ACFOL",355798,3.98,"Pharmapro",1,"Stratum A1","31215/1","5mg","50"
"ACHONID GEL",179179,2.00,"Benta Trading Co s.a.l.",1,"Stratum A1","77024/1","2.5% (25mg/g)","Tube of 60g"
"ACIDE ALENDRONIQUE/ VITAMINE D3 BGR",784804,8.77,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A2","98218/1","70mg/5600UI","4"
"ACIDE FUSIDIQUE BGR",202920,2.27,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A1","78424/1","2%","Tube de 15g"
"ACLASTA",21075062,235.48,"Khalil Fattal & Fils S.A.L.",0,"Stratum D","4723/1","5mg/100ml","1vial"
"A-CNOTREN",1526524,17.06,"Bellapharma S.A.R.L.",1,"Stratum B","1416/1","20mg","30"
"ACTEMRA",11127864,124.33,"Omnipharma",1,"Stratum C","218156/09","80mg/4ml","1Vial"
"ACTEMRA",25485937,284.76,"Omnipharma",0,"Stratum D","218157/09","200mg/10ml","1 Vial"
"ACTEMRA",47925322,535.48,"Omnipharma",1,"Stratum E1","218158/09","400mg/20ml","1Vial"
"ACTEMRA",79959812,893.41,"Omnipharma",1,"Stratum E1","42115/1","162mg/0.9ml","4Prefilled syringes"
"ACTICARBINE",306396,3.42,"Pharmamedic S.A.R.L.",1,"Stratum A1","78773","","42"
"ACTILYSE",100976553,1,128.23,"Mersaco",1,"Stratum E2","38681/96","50mg","2"
"ACTISKENAN",763303,8.53,"Minapharm Halabi",1,"Stratum A2","109125/1","30mg","14"
"ACTISKENAN",512004,5.72,"Minapharm Halabi",1,"Stratum A1","109025/1","20mg","14"
"ACTISKENAN",310428,3.47,"Minapharm Halabi",1,"Stratum A1","108925/1","10mg","14"
"ACTISKENAN",233829,2.61,"Minapharm Halabi",1,"Stratum A1","108825/1","5mg","14"
"ACTISOUFRE",729706,8.15,"Pharmamedic S.A.R.L.",1,"Stratum A2","219553/09","","100ml"
"ACTI-VIR",1039238,11.61,"Pharmapro",1,"Stratum A2","78770/98","200mg","25"
"ACTI-VIR H",833182,9.31,"Pharmapro",1,"Stratum A2","52515/1","","5g"
"ACTONORM",403153,4.50,"Taba Chemipharm",1,"Stratum A1","61618/1","220mg/200mg/25mg in 5ml","200ml"
"ACTOS",2484765,27.76,"Abela Frères S.A.L.",1,"Stratum B","973726/02","30mg","30"
"ACTOS",1243054,13.89,"Abela Frères S.A.L.",1,"Stratum A2","23608/06","15mg","30"
"ACTOSMET",3101588,34.65,"Abela Frères S.A.L.",1,"Stratum B","179817/1","15mg/850mg","56"
"ACTRAPID",752552,8.41,"Mersaco",1,"Stratum A2","26460","100IU/ml","10ml"
"ACTRAPID",752552,8.41,"Mersaco",1,"Stratum A2","144814/1","100IU/ml","10ml"
"ACUPAN",365525,4.08,"Pharmamedic S.A.R.L.",1,"Stratum A1","24959/07","","5"
"ACURIL",614136,6.86,"Qualipharm",1,"Stratum A1","168203/10","5mg","28"
"ACURIL",497222,5.56,"Qualipharm",1,"Stratum A1","168202/10","2.5mg","28"
"ACURIL",810337,9.05,"Qualipharm",1,"Stratum A2","96648/12","10mg","28"
"ADALIREL",3628375,40.54,"Levant Pulse SARL",1,"Stratum B","106523/1","40mg","box of 0.8ml in PFS fo subcutaneous use"
"ADCETRIS",298266862,3,332.59,"Century Pharma SAL",1,"Stratum E2","119414/1","50mg","1Vial"
"ADDAVEN",4065124,45.42,"Benta Trading Co s.a.l.",1,"Stratum B","106324/1","",""
"ADELPHAN ESIDREX",371157,4.15,"Mephico S.A.L.",1,"Stratum A1","24279","","30"
"ADENURIC",2127111,23.77,"Droguerie de l'Union",1,"Stratum B","93318/1","80mg","28"
"ADENURIC",2184704,24.41,"Droguerie de l'Union",1,"Stratum B","107818/1","120mg","28"
"ADENURIC",1687866,18.86,"Droguerie de l'Union",1,"Stratum B","79719/1","40mg","28"
"ADEX",296989,3.32,"Medis Pharm Drugstore",1,"Stratum A1","55423/1","1.5mg","box of 30"
"ADOL",192169,2.15,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","208895/03","250mg/5ml","135ml"
"ADOL",107507,1.20,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","78843/98","125mg","10"
"ADOL",124977,1.40,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","78844/98","250mg","10"
"ADOL",131697,1.47,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","78845/98","500mg","10"
"ADOL",81974,0.92,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","78846/98","500mg","24"
"ADOL",126321,1.41,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","120922/1","120mg/5ml","100ml"
"ADOL EXTRA",122290,1.37,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","973937/02","","24"
"ADRENALINE 1 MG  I.V.",2239738,25.03,"Alfa Laboratoires S.A.L.",1,"Stratum B","26/95","1mg/ml","100 x 1ml"
"ADRENALINE AGUETTANT",13990891,156.32,"Pharmamed",0,"Stratum D","43121/1","1mg/10ml (0.1mg/ml)","10Prefilled Syringes"
"ADRENALINE RENAUDIN",13990891,156.32,"Minapharm Halabi",0,"Stratum D","H0744/92","1mg/ml","10x1ml"
"ADRENALINE RENAUDIN",13990891,156.32,"Minapharm Halabi",0,"Stratum D","812,23.08,A1,4.97,Renaudin","1mg/ml","10x1ml"
"ADRENALINE RENAUDIN",13990891,156.32,"Minapharm Halabi",0,"Stratum D","812,23.08,A1,4.97,Renaudin","1mg/ml","10x1ml"
"ADRENALINE SALF",220390,2.46,"New Europharm",1,"Stratum A1","81614/1","1mg/ml","5Amp x 1ml"
"ADROMUX",821088,9.17,"Droguerie Phenicia",1,"Stratum A2","167734/10","","1"
