Code,Registration number,Brand name,Strength,Presentation,Form,Agent,Manufacturer,Country,Public Price LL,Pharmacist Margin,Stratum,public price Decision 119/1 20230126,Responsible Party Name,Responsible Party Country,Exch_Dates
5225,24469,ASCOVA,40mg,30,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"1,612,611",23.08,B,18.02,,,8/11/2026
5226,24467,ASCOVA,10mg,30,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"1,126,268",23.08,A2,12.58,,,8/11/2026
11752,54923/01,ASIMPLEX,250mg,1Vial,Lyophilized powder for solution for infusion,New Europharm,Aroma Ilac San. Ltd. Sti,Turkey,"278,175",23.08,A1,3.11,Polifarma Ilaç San. ve Tic.,Turkey,8/11/2026
4660,28556/93,ASMALAT,2mg/5ml,150ml,Syrup,Pharmaline S.A.L.,Pharmaline SAL,Lebanon,"177,899",23.08,A1,1.99,,,8/11/2026
10695,17520/1,ASOLFENA,5mg,30,"Tablet, film coated",Pharmamedic S.A.R.L.,"KrKa, dd, Novo Mesto",Slovenia,"971,598",23.08,A2,10.86,Tad Pharma GmbH,Germany,8/11/2026
10696,17420/1,ASOLFENA,10mg,30,"Tablet, film coated",Pharmamedic S.A.R.L.,"KrKa, dd, Novo Mesto",Slovenia,"971,598",23.08,A2,10.86,Tad Pharma GmbH,Germany,8/11/2026
9537,29818/1,ASPECTON COUGH SYRUP,,100ml,,Mediterranean Pharmaceutical Company,Krewel Meuselbach GmbH,Germany,"580,540",23.08,A1,6.49,Krewel Meuselbach GmbH,Germany,8/11/2026
8506,157715/1,ASPI-COR,81mg,120,"Tablet, enteric coated",Propre S.A.R.L.,LNK International Inc,USA,"690,735",23.08,A1,7.72,Health Products Corporation,USA,8/11/2026
4673,261087/97,ASPICOT,100mg,100,"Tablet, enteric coated",Pharmaline S.A.L.,Pharmaline SAL,Lebanon,"403,153",23.08,A1,4.50,,,8/11/2026
4680,261088/97,ASPICOT,100mg,30,"Tablet, enteric coated",Pharmaline S.A.L.,Pharmaline SAL,Lebanon,"134,384",23.08,A1,1.50,,,8/11/2026
10362,140420/1,ASPICOT,81mg,100,"Tablet, enteric coated",Pharmaline S.A.L.,Pharmaline SAL,Lebanon,"353,239",23.08,A1,3.95,,,8/11/2026
10617,57121/1,ASPIPHAR,100mg,30,"Tablet, enteric coated",Pharmaline S.A.L.,Pharmaline SAL,Lebanon,"134,384",23.08,A1,1.50,,,8/11/2026
7004,97499/12,ASPIRIN PROTECT,100mg,20,"Tablet, enteric coated",Nouvelle Pharm Drugstore,Bayer Bitterfeld GmbH,Germany,"146,479",23.08,A1,1.64,Bayer Consumer Care AG,Switzerland,8/11/2026
7635,50114/1,ASPIRINE,0.3g,30,Tablet,Droguerie R. Pharaon & Fils S.A.L.,Bayer Bitterfeld GmbH,Germany,"80,631",23.08,A1,0.90,Bayer Consumer Care AG,Switzerland,8/11/2026
7709,61014/1,ASPIRINE C EFFERVESCENT,,10,"Tablet, effervescent",Nouvelle Pharm Drugstore,Bayer Bitterfeld GmbH,Germany,"162,605",23.08,A1,1.82,Bayer Consumer Care AG,Switzerland,8/11/2026
12125,7324/1,ASPRIVIT,,20,Tablet,Mediterranean Pharmaceutical Company,Pharmex Advanced Laboratories SL,Spain,"186,794",23.08,A1,2.09,Pharminicio SL,Spain,8/11/2026
9480,107114/1,ASPROTHIN,81mg,30,"Tablet, enteric coated",Pharmadex,Pharmadex,Lebanon,"148,463",23.08,A1,1.66,,,8/11/2026
10896,195719/1,ASTEFOR,400mg/30mg,30,"Tablet, film coated",Macromed S.A.R.L.,Farmasierra Manufacturing SL,Spain,"935,314",23.08,A2,10.45,Farmasierra Laboratorios SL,Spain,8/11/2026
5949,24985/07,ASTHALIN,,20 x 2.5ml,Respule,Droguerie de l'Union,Cipla Ltd,India,"325,210",23.08,A1,3.63,Cipla Ltd,India,8/11/2026
11994,164023/1,ATACAND,8mg,28,Tablet,Omnipharma,Klocke Pharma Service GmbH,Germany,"526,786",23.08,A1,5.89,Cheplapharm Arzneimittel GmbH,Germany,8/11/2026
11995,164123/1,ATACAND,16mg,28,Tablet,Omnipharma,Klocke Pharma Service GmbH,Germany,"705,517",23.08,A1,7.88,Cheplapharm Arzneimittel GmbH,Germany,8/11/2026
11993,164223/1,ATACAND PLUS,16mg/12.5mg,28,Tablet,Omnipharma,Klocke Pharma Service GmbH,Germany,"705,517",23.08,A1,7.88,Cheplapharm Arzneimittel GmbH,Germany,8/11/2026
11080,115222/1,ATENOLOL BIOGARAN,50mg,30,Comprimés  sécables,Commercial and Trading Ressources SAL (CTR),Anpharm Przedsiebiorstwo Farmaceutyczne SA,Poland,"295,645",23.08,A1,3.30,Laboratoires Biogaran,France,8/11/2026
3355,974055/02,ATERKEY,20mg,28,Tablet,Mediterranean Pharmaceutical Company,Pharminicio SL,Spain,"1,053,573",23.08,A2,11.77,Pharminicio SL,Spain,8/11/2026
12710,17226/1,ATHERO ROS,20mg,30,"Tablet, film coated",Bee Pharm SARL,"UBSA Pharma Industries SARL (Secondary Packaging), manufacturer: Livealth Biopharma Pvt. Ltd, India",Lebanon,"499,142",23.08,A1,5.58,,,8/11/2026
12711,16726/1,ATHERO ROS,10mg,30,"Tablet, film coated",Bee Pharm SARL,"UBSA Pharma Industries SARL (Secondary Packaging), manufacturer: Livealth Biopharma Pvt. Ltd, India",Lebanon,"499,142",23.08,A1,5.58,,,8/11/2026
4249,974227/01,ATONIUM,50mg,30,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"239,588",23.08,A1,2.68,,,8/11/2026
4260,974230/01,ATONIUM,100mg,30,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"461,207",23.08,A2,5.15,,,8/11/2026
4268,974228/01,ATONIUM PLUS,50/25mg,30,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"738,473",23.08,A2,8.25,,,8/11/2026
4269,974229/01,ATONIUM PLUS,100/25mg,30,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"738,473",23.08,A2,8.25,,,8/11/2026
11996,84523/1,ATOR MEDIS,10mg,30,"Tablet, film coated",Medis Pharm Drugstore,Les Laboratoires Medis,Tunisia,"305,052",23.08,A1,3.41,Les Laboratoires Medis,Tunisia,8/11/2026
11997,84423/1,ATOR MEDIS,20mg,30,"Tablet, film coated",Medis Pharm Drugstore,Les Laboratoires Medis,Tunisia,"591,291",23.08,A1,6.61,Les Laboratoires Medis,Tunisia,8/11/2026
11998,84323/1,ATOR MEDIS,40mg,30,"Tablet, film coated",Medis Pharm Drugstore,Les Laboratoires Medis,Tunisia,"694,767",23.08,A1,7.76,Les Laboratoires Medis,Tunisia,8/11/2026
5075,24457/06,ATORLIP 10,10mg,30,"Tablet, film coated",Benta Trading Co s.a.l.,Manufactured by Benta SAL Trademark owner Abbott HealthCare Products BV,Lebanon,"1,052,037",23.08,B,11.75,,,8/11/2026
5076,24459/06,ATORLIP 20,20mg,30,"Tablet, film coated",Benta Trading Co s.a.l.,Manufactured by Benta SAL Trademark owner Abbott HealthCare Products BV,Lebanon,"1,279,850",23.08,A2,14.30,,,8/11/2026
7490,97883/12,ATORLIP 40,40mg,30,"Tablet, film coated",Benta Trading Co s.a.l.,Manufactured by Benta SAL Trademark owner Abbott HealthCare Products BV,Lebanon,"1,484,626",23.08,B,16.59,,,8/11/2026
7569,186393/13,ATORVA TAD,20mg,30,"Tablet, film coated",Pharmamedic S.A.R.L.,"Kr Ka, d.d, Novo Mesto",Slovenia,"1,087,169",23.08,A2,12.15,Tad Pharma GmbH,Germany,8/11/2026
9199,30617/1,ATORVA TAD,10mg,30,"Tablet, film coated",Pharmamedic S.A.R.L.,"Kr Ka, d.d, Novo Mesto",Slovenia,"677,297",23.08,A1,7.57,Tad Pharma GmbH,Germany,8/11/2026
9200,30717/1,ATORVA TAD,40mg,30,"Tablet, film coated",Pharmamedic S.A.R.L.,"Kr Ka, d.d, Novo Mesto",Slovenia,"1,405,659",23.08,A2,15.71,Tad Pharma GmbH,Germany,8/11/2026
11795,133622/1,ATORVAKEY-10,10mg,30,Tablet,Mediterranean Pharmaceutical Company,Emcure Pharmaceuticals Ltd,India,"362,837",23.08,A1,4.05,Pharminicio SL,Spain,8/11/2026
11794,133522/1,ATORVAKEY-20,20mg,30,Tablet,Mediterranean Pharmaceutical Company,Emcure Pharmaceuticals Ltd,India,"362,837",23.08,A1,4.05,Pharminicio SL,Spain,8/11/2026
8660,186840/14,ATORVASTATIN PHARMADEX,20mg,30,Tablet,Pharmadex,Pharmadex,Lebanon,"769,190",23.08,A2,8.59,Pharmadex,Lebanon,8/11/2026
9234,79617/1,ATORVASTATINE ARROW GENERIQUES,80mg,30,Comprimes pellicules,Darapharma S.A.L.,APL Swift Services (Malta) Limited,Malta,"564,414",23.08,A1,6.31,Arrow Génériques,France,8/11/2026
11355,97621/1,ATORVASTATINE ARROW GENERIQUES,10mg,30,Comprimes pellicules,Darapharma S.A.L.,APL Swift Services (Malta) Limited,Malta,"567,102",23.08,A1,6.34,Arrow Génériques,France,8/11/2026
11356,97721/1,ATORVASTATINE ARROW GENERIQUES,20mg,30,Comprimes pellicules,Darapharma S.A.L.,APL Swift Services (Malta) Limited,Malta,"567,102",23.08,A1,6.34,Arrow Génériques,France,8/11/2026
11616,38323/1,ATORVASTATINE ARROW GENERIQUES,80mg,30,Comprimes pellicules,Darapharma S.A.L.,Generis Farmaceutica SA,Portugal,"564,414",23.08,A1,6.31,Arrow Génériques,France,8/11/2026
11935,8324/1,ATORVASTATINE ARROW GENERIQUES,20mg,30,Comprimes pellicules,Darapharma S.A.L.,Generis Farmaceutica SA,Portugal,"567,102",23.08,A1,6.34,Arrow Génériques,France,8/11/2026
11936,10124/1,ATORVASTATINE ARROW GENERIQUES,10mg,30,Comprimes pellicules,Darapharma S.A.L.,Generis Farmaceutica SA,Portugal,"567,102",23.08,A1,6.34,Arrow Génériques,France,8/11/2026
10484,145021/1,ATORVASTATINE ARROW GENERQUES,40mg,30,Comprimés pelliculés,Darapharma S.A.L.,APL Swift Services (Malta) Limited,Malta,"564,414",23.08,A1,6.31,Arrow Génériques,France,8/11/2026
11617,38423/1,ATORVASTATINE ARROW GENERQUES,40mg,30,Comprimés pelliculés,Darapharma S.A.L.,Generis Farmaceutica SA,Portugal,"564,414",23.08,A1,6.31,Arrow Génériques,France,8/11/2026
10190,16820/1,ATOZET ,10mg/40mg,30,"Tablet, film coated",Droguerie de l'Union,Merck Sharp & Dohme BV,The Netherlands,"2,046,672",23.08,B,22.87,N.V. Organon,The Netherlands,8/11/2026
10191,16920/1,ATOZET ,10mg/10mg,30,"Tablet, film coated",Droguerie de l'Union,Merck Sharp & Dohme BV,The Netherlands,"1,624,706",23.08,B,18.15,N.V. Organon,The Netherlands,8/11/2026
10192,16720/1,ATOZET ,10mg/20mg,30,"Tablet, film coated",Droguerie de l'Union,Merck Sharp & Dohme BV,The Netherlands,"2,046,672",23.08,B,22.87,N.V. Organon,The Netherlands,8/11/2026
12137,97824/1,ATOZET ,10mg/40mg,30,"Tablet, film coated",Droguerie de l'Union,Organon Heist BV,Belgium,"2,046,672",23.08,B,22.87,N.V. Organon,The Netherlands,8/11/2026
12138,97624/1,ATOZET ,10mg/10mg,30,"Tablet, film coated",Droguerie de l'Union,Organon Heist BV,Belgium,"1,624,706",23.08,B,18.15,N.V. Organon,The Netherlands,8/11/2026
12139,97724/1,ATOZET ,10mg/20mg,30,"Tablet, film coated",Droguerie de l'Union,Organon Heist BV,Belgium,"2,046,672",23.08,B,22.87,N.V. Organon,The Netherlands,8/11/2026
4214,19/95,ATROPINE,1mg/ml,10 x 1ml,Injectable solution,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"702,149",16.67,,7.85,,,8/11/2026
4236,20/95,ATROPINE,0.5mg/ml,10 x 1ml,Injectable solution,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"680,315",16.67,,7.60,,,8/11/2026
4864,21/95,ATROPINE I.V.  0.25 MG.,0.25mg/ml,100 x 1ml,Injectable solution,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"2,412,129",16.67,,26.95,,,8/11/2026
2177,261487/97,ATROPINE SULFATE RENAUDIN,1mg/ml,10x1ml,Ampoule Injectable,Minapharm Halabi,"Renaudin
",France,"397,777",23.08,A1,4.44,"Renaudin
",,8/11/2026
2179,D0744/92,ATROPINE SULFATE RENAUDIN,0.5mg/ml,10 x 1ml,Ampoule,Minapharm Halabi,"Renaudin
",France,"385,683",23.08,A1,4.31,"Renaudin
",,8/11/2026
11027,83421/1,ATROPINE SULFATEAGUETTANT,0.1mg/ml,10Prefilled Syringes,Solution for injection,Pharmamed,Aguettant,France,"7,805,376",21.26,C,87.21,Aguettant,France,8/11/2026
1878,208478,ATROVENT,250mcg/2ml,20,Unit Dose Vial,Mersaco,Laboratoire Unither,France,"544,256",23.08,A1,6.08,Boehringer Ingelheim International GmbH ,Germany,8/11/2026
1879,135386,ATROVENT,500mcg/2ml,20,Unit Dose Vial,Mersaco,Laboratoire Unither,France,"713,580",23.08,A1,7.97,Boehringer Ingelheim International GmbH ,Germany,8/11/2026
2227,38682,ATROVENT COMP. HFA,20mcg/50mcg,10ml,Metered dose inhaler,Mersaco,Boehringer Ingelheim Pharma GmbH & Co KG,Germany,"544,256",23.08,A1,6.08,Boehringer Ingelheim International GmbH ,Germany,8/11/2026
2226,208689/03,ATROVENT N,20mcg/puff,10ml/ 200 metered doses,Metered aerosol,Mersaco,Boehringer Ingelheim Pharma GmbH & Co KG,Germany,"428,686",23.08,A1,4.79,,,8/11/2026
11639,38416/1,ATYPRAL,10mg,28,Tablet,Mediterranean Pharmaceutical Company,Pharminicio SL,Spain,"712,237",23.08,A1,7.96,Pharminicio SL,Spain,8/11/2026
11640,38316/1,ATYPRAL,15mg,28,Tablet,Mediterranean Pharmaceutical Company,Pharminicio SL,Spain,"712,237",23.08,A1,7.96,Pharminicio SL,Spain,8/11/2026
7849,186999/14,AUBAGIO,14mg,28,"Tablet, film coated",Mersaco,Opella Healthcare International SAS,France,"38,773,533",19.35,D,433.22,Sanofi Aventis Groupe,France,8/11/2026
11947,116423/1,AUBAGIO,14mg,28,"Tablet, film coated",Mersaco,Opella Healthcare International SAS,France,"38,773,533",19.35,D,433.22,Sanofi Winthrop Industrie,France,8/11/2026
10272,142419/1,AUGMENTIN,312mg/5ml,100ml,Powder for suspension,Abela Frères S.A.L.,GlaxoWellcome Production,France,"542,912",23.08,A1,6.07,Beecham Group PLC,UK,8/11/2026
9849,179118/1,AUGMENTIN,625mg,20,Tablet ,Abela Frères S.A.L.,"Pharmaline SAL Licensed by Glaxo SmithKline Export Ltd , UK",Lebanon,"639,958",23.08,A1,7.15,,,8/11/2026
8919,174916/1,AUGMENTIN ,1g,14,Tablet,Abela Frères S.A.L.,"Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK",Lebanon,"739,202",23.08,A2,8.26,,,8/11/2026
12522,136024/1,AUGMENTIN DUO,457mg/5ml,70ml,Powder for Oral suspension,Abela Frères S.A.L.,GlaxoWellcome Production,France,"524,099",23.08,A1,5.86,SmithKline Beecham Ltd,UK,8/11/2026
6251,166503/11,AUGMENTIN ES,642.9mg/5ml,100ml,Powder for suspension,Abela Frères S.A.L.,GlaxoWellcome Production,France,"846,621",23.08,A2,9.46,GlaxoSmithKline Produtos Farmaceuticos Lda,Portugal,8/11/2026
8528,167115/1,AURICULARUM,,1x1,Poudre et solvant pour suspension pour instillation auriculaire,Pharmamedic S.A.R.L.,Laboratoires Grimberg SA,France,"755,239",23.08,A2,8.44,Laboratoires Grimberg SA,France,8/11/2026
4270,18540,AURIMEL,,100ml,Syrup,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"319,963",23.08,A1,3.58,,,8/11/2026
8807,222927/14,AVALON AVOBAN ,2% w/w ,15g,ointment,C. Catafago & Co,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,"460,938",23.08,A1,5.15,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,8/11/2026
2198,973411/01,AVALOX,400mg,5,"Tablet, film coated",Droguerie R. Pharaon & Fils S.A.L.,Bayer HealthCare Manufacturing SRL,Italy,"1,087,169",23.08,A2,12.15,Bayer AG,Germany,8/11/2026
2199,973412/01,AVALOX,400mg,7,"Tablet, film coated",Droguerie R. Pharaon & Fils S.A.L.,Bayer HealthCare Manufacturing SRL,Italy,"1,521,230",23.08,B,17.00,Bayer AG,Germany,8/11/2026
5222,208571/03,AVALOX,400mg/250ml,5x250ml,Solution for IV infusion,Droguerie R. Pharaon & Fils S.A.L.,"Fresenius Kabi Italia SRL, Italy",Italy,"9,052,935",21.26,C,101.15,Bayer AG,Germany,8/11/2026
5980,218766/09,AVAMYS,27.5mcg/dose,120 doses,Nasal spray suspension,Abela Frères S.A.L.,Glaxo Operations UK Ltd,UK,"722,987",23.08,A2,8.08,Glaxo Operations UK Ltd,UK,8/11/2026
11160,76221/1,AVAMYS,27.5mcg/dose,120 doses,Nasal spray suspension,Abela Frères S.A.L.,Glaxo Wellcome SA,Spain,"722,987",23.08,A2,8.08,GlaxoSmithKline Australia Pty Ltd,Australia,8/11/2026
5554,221325/08,AVASTIN,100mg,1Vial x 4ml,Solution for injection,Omnipharma,F. Hoffmann La Roche Manufacturing Site Kaiseraugst,Switzerland,"24,533,456",19.35,D,274.12,F. Hoffmann La Roche Ltd,Switzerland,8/11/2026
5555,221326/08,AVASTIN,400mg,1Vial x 16ml,Solution for injection,Omnipharma,F. Hoffmann La Roche Manufacturing Site Kaiseraugst,Switzerland,"75,875,312",2.44,E2,847.77,,,8/11/2026
6109,167512/10,AVASTIN,100mg,1Vial x 4ml,Solution for injection,Omnipharma,"Roche Diagnostics  GmbH
",Germany,"24,533,456",19.35,D,274.12,F. Hoffmann La Roche Ltd,Switzerland,8/11/2026
6110,167517/10,AVASTIN,400mg,1Vial x 16ml,Solution for injection,Omnipharma,"Roche Diagnostics  GmbH
",Germany,"75,875,312",2.44,E2,847.77,F. Hoffmann La Roche Ltd,Switzerland,8/11/2026
5673,218859/09,AVAXIM PEDIATRIQUE (vaccin inactivé de l'hépatite A adsorbé),80U,Seringue préremplie= 1dose,Injectable suspension,Mersaco,Sanofi Pasteur ,France,"1,531,980",23.08,B,17.12,Sanofi Pasteur ,France,8/11/2026
10711,49519/1,AVIRAVIR,0.5mg,30,"Tablet, film coated",BroadMed SAL,Humanis Saglik Anonim Sirketi,Turkey,"32,224,230",19.35,D,360.05,Pharmactive Ilac San. ve Tic. AS,Turkey,8/11/2026
10712,49419/1,AVIRAVIR,1mg,30,"Tablet, film coated",BroadMed SAL,Humanis Saglik Anonim Sirketi,Turkey,"32,224,230",19.35,D,360.05,Pharmactive Ilac San. ve Tic. AS,,8/11/2026
11941,52821/1,AVITAR 400,400mg,7,"Tablet, film coated",C. Catafago & Co,The Jordanian Pharmaceutical Manufacturing & Co Ltd,Jordan,"913,813",23.08,A2,10.21,The Jordanian Pharmaceutical Manufacturing & Co Ltd,Jordan,8/11/2026
11942,52721/1,AVITAR 400,400mg,5,"Tablet, film coated",C. Catafago & Co,The Jordanian Pharmaceutical Manufacturing & Co Ltd,Jordan,"651,764",23.08,A1,7.28,The Jordanian Pharmaceutical Manufacturing & Co Ltd,Jordan,8/11/2026
10550,45720/1,AVIXAN,2.5mg,60,"Tablet, film coated",Droguerie de l'Union,"Algorithm S.A.L. (Packager and final batch releaser), Macleods Pharmaceuticals Limited, India (Bulk mamufacturer)",Lebanon,"2,777,275",23.08,B,31.03,,,8/11/2026
10551,45620/1,AVIXAN,5mg,60,"Tablet, film coated",Droguerie de l'Union,"Algorithm S.A.L. (Packager and final batch releaser), Macleods Pharmaceuticals Limited, India (Bulk mamufacturer)",Lebanon,"2,777,275",23.08,B,31.03,,,8/11/2026
7742,186351/13,AVOCAINE,10% w/w,50ml,Spray,C. Catafago & Co,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,"400,465",23.08,A1,4.47,Middle East Pharmaceutical Industries- Avalon Pharma,Saudi Arabia,8/11/2026
7806,186265/13,AVOCOM,0.05%,120 metered sprays,Aqueous Nasal Spray,C. Catafago & Co,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,"419,279",23.08,A1,4.68,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,8/11/2026
10181,168319/1,AVODART,0.5mg,30,Capsules soft,Abela Frères S.A.L.,"Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK",Lebanon,"2,660,787",23.08,B,29.73,,,8/11/2026
11543,81221/1,AVONEX,30mcg/0.5ml,4 prefilled pens +4 needles,Injectable solution ,Mersaco,Biogen Netherlands BV,The Netherlands,"70,488,764",10.71,E1,787.58,Biogen Netherlands BV,The Netherlands,8/11/2026
11861,181820/1,AVOQUIN,4%,50g,Cream,C. Catafago & Co,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,"916,501",23.08,A2,10.24,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,8/11/2026
11611,165220/1,AVOTIN-A,0.05%,30g,Cream,C. Catafago & Co,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,"440,780",23.08,A1,4.92,Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma,Saudi Arabia,8/11/2026
9632,79316/1,AXETINE,750mg,10Vials,Powder for solution for injection/ infusion,New Allpharma,Medochemie Ltd,Cyprus,"1,193,332",23.08,A2,13.33,Medochemie Ltd,Cyprus,8/11/2026
9633,79416/1,AXETINE,1.5g,10Vials,Powder for solution for injection/ infusion,New Allpharma,Medochemie Ltd,Cyprus,"2,273,782",23.08,B,25.41,Medochemie Ltd,Cyprus,8/11/2026
4272,974221/01,AXIPRON,20mg,14,Capsule,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"373,358",23.08,A1,4.17,,,8/11/2026
755,208619/03,AXONE,1g,10,Vial IV/IM,Picomed SARL,Pharma International Co,Jordan,"4,047,654",23.08,B,45.23,,,8/11/2026
9696,67018/1,AXONE 1G IM,1g,1Vial+1Ampoules of lidocaine 1% 5ml,,Picomed SARL,Pharma International Co,Jordan,"438,093",23.08,A1,4.89,Pharma International Co,Jordan,8/11/2026
9697,67118/1,AXONE 500MG IM,500mg,1Vial+1Ampoules of lidocaine 1% 5ml,,Picomed SARL,Pharma International Co,Jordan,"393,746",23.08,A1,4.40,Pharma International Co,Jordan,8/11/2026
12257,145623/1,AYECLAV-T,,2X7,Tablet,Cure Pharmaceutical,Kwality Pharmaceuticals Limited,India,"338,648",23.08,A1,3.78,Humble Healthcare Limited,India,8/11/2026
11875,55424/1,AZACITIDINE ARROW,25mg/ml,Boite de 1Flacon,Poudre pour suspension injectable,Darapharma S.A.L.,APL Swift Services (Malta) Limited,Malta,"10,967,854",21.26,C,122.55,Arrow Génériques,France,8/11/2026
11177,151322/1,AZACITIDINE EVER PHARMA,25mg/ml,,Powder for suspension for injection,Codipha,Ever Pharma Jena GmbH ,Germany,"10,967,854",21.26,C,122.55,Ever Valinject GmbH ,Austria,8/11/2026
10154,99219/1,AZACITIDINE NEAPOLIS,100mg,Box of 1Vial,Lyophilizate for injection,Medis Pharm Drugstore,Neapolis Pharma,Tunisia,"9,401,575",21.26,C,105.05,Neapolis Pharma,Tunisia,8/11/2026
12285,92424/1,AZACITIDINE SHILPA,100mg,1Vial,,Levant Pulse SARL,"Shilpa Medicare Limited, India",India,"7,350,062",21.26,C,82.12,"Shilpa Medicare Limited, India",India,8/11/2026
11270,177720/1,AZACITIDINE SPC,100mg,1Vial,Powder for  injection,Advanced Healthcare Services SAL,"Pharmaline SAL Licensed by Sudair Pharma Company, KSA",Lebanon,"10,706,993",21.26,C,119.63,,,8/11/2026
12411,19824/1,AZELTIN,500mg,3,"Tablet, film coated",BroadMed SAL,Biofarma Ilac San. ve Tic. AS,Turkey,"435,405",23.08,A1,4.86,Biofarma Ilac San. ve Tic. AS,Turkey,8/11/2026
7358,97545/11,AZICIN 250 BENTA,250mg,6,"Tablet, film coated",Benta Trading Co s.a.l.,Benta SAL,Lebanon,"423,630",23.08,A1,4.73,,,8/11/2026
7359,97546/11,AZICIN 500 BENTA,500mg,3,"Tablet, film coated",Benta Trading Co s.a.l.,Benta SAL,Lebanon,"573,373",23.08,A1,6.41,,,8/11/2026
9593,110516/1,AZM-500,,3,"Tablet, film coated",Ecopharm,Bluepharma Industria Farmaceutica SA,Portugal,"448,843",23.08,A1,5.02,"Bluepharma Genericos-Comercio de Medicamentos, SA",Portugal,8/11/2026
1362,973745/02,AZOMYCIN,200mg/5ml,15ml,Powder for oral suspension  + solvent,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"365,525",23.08,A1,4.08,,,8/11/2026
1363,973735/02,AZOMYCIN,250mg,6,Capsule,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"361,494",23.08,A1,4.04,,,8/11/2026
5590,24744/07,AZOMYCIN,200mg/5ml,30ml,Powder for oral suspension + solvent,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"603,385",23.08,A1,6.74,,,8/11/2026
1720,974059/02,AZOMYNE,250mg,6,Capsule,Macromed S.A.R.L.,Hayat Pharmaceuticals Industries Co PLC,Jordan,"385,683",23.08,A1,4.31,,,8/11/2026
1721,974064/02,AZOMYNE,200mg/5ml,15ml,Dry suspension,Macromed S.A.R.L.,Hayat Pharmaceuticals Industries Co PLC,Jordan,"237,860",23.08,A1,2.66,,,8/11/2026
759,208552/03,AZONIT - D,,20g,Cream,Picomed SARL,Pharma International Co,Jordan,"225,766",23.08,A1,2.52,,,8/11/2026
9661,94518/1,AZOPT,10mg/ml,5ml,Eye Drops suspension,Khalil Fattal & Fils S.A.L.,SA Alcon Couvreur NV,Belgium,"499,909",23.08,A1,5.59,Novartis Pharma AG,Switzerland,8/11/2026
1835,974043/02,AZOX 250,250mg,6,Capsule,C. Catafago & Co,The Jordanian Pharmaceutical Manufacturing Company (JPM),Jordan,"346,711",23.08,A1,3.87,,,8/11/2026
11496,28218/1,AZOX 250,250mg,6,"Tablet, film coated",C. Catafago & Co,The Jordanian Pharmaceutical Manufacturing Company (JPM),Jordan,"354,774",23.08,A1,3.96,The Jordanian Pharmaceutical Manufacturing Company (JPM),Jordan,8/11/2026
11533,4020/1,AZYTER,15mg/g,6 recipients unidose ,Collyre en solution,Square One Group Pharma SAL,Laboratoire Unither,France,"412,560",23.08,A1,4.61,Laboratoires Thea,France,8/11/2026
10080,84519/1,BACLOCALM,25mg,Pack of 50,Tablet,Interpharma S.A.L.,Labatec Farmaceutica SA,Portugal,"928,595",23.08,A2,10.38,Labatec Pharma SA,Switzerland,8/11/2026
10081,84419/1,BACLOCALM,10mg,Pack of 50,Tablet,Interpharma S.A.L.,Labatec Farmaceutica SA,Portugal,"589,947",23.08,A1,6.59,Labatec Pharma SA,Switzerland,8/11/2026
6307,24111/06,BACTALL 500,500mg,10,"Tablet, film coated",C. Catafago & Co,The Jordanian Pharmaceutical Manufacturing Co. (JPM),Jordan,"292,958",23.08,A1,3.27,The Jordanian Pharmaceutical Manufacturing & Co Ltd,Jordan,8/11/2026
12704,92224/1,BACTILAM,500mg,1000,Capsule,Medis Pharm Drugstore,"Zhongshan Lean & Leap Pharmaceutical Co. Ltd, China Packed by Chaoul Pharmaceuticals (Cha-pha) SAL",Lebanon,"6,198,314",23.08,B,69.25,Chaoul Pharmaceuticals (Cha-Pha) SAL,Lebanon,8/11/2026
