Code,Registration number,Brand name,Strength,Presentation,Form,Agent,Manufacturer,Country,Public Price LL,Pharmacist Margin,Stratum,public price Decision 119/1 20230126,Responsible Party Name,Responsible Party Country,Exch_Dates
10615,63521/1,10% DEXTROSE INJECTION USP,,250ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"187,316",16.67,,2.09,,,8/11/2026
10616,63621/1,10% DEXTROSE INJECTION USP,,500ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"213,747",16.67,,2.39,,,8/11/2026
11140,9323/1,10% DEXTROSE INJECTION USP,,1000ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"313,726",16.67,,3.51,,,8/11/2026
11141,9123/1,10% DEXTROSE INJECTION USP,,250ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"242,477",16.67,,2.71,,,8/11/2026
11142,9223/1,10% DEXTROSE INJECTION USP,,500ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"278,102",16.67,,3.11,,,8/11/2026
12180,115324/1,10% DEXTROSE INJECTION USP,,100ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"187,316",16.67,,2.09,,,8/11/2026
9526,31316/1,10% W/V CALCIUM GLUCONATE INJECTION BP,,100x10ml Plastic Ampoules,,Pharmamed,Pharmaceutical Solutions Industry,Saudi Arabia,"3,952,241",23.08,B,44.16,Pharmaceutical Solutions Industry,Saudi Arabia,8/11/2026
4290,208377/97,123 COLD AND FLU,,20,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"409,552",23.08,A1,4.58,,,8/11/2026
10304,10120/1,123 COMPLETE,,16Day tablets + 8Night tablets,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,"537,537",23.08,A1,6.01,Algorithm S.A.L.,Lebanon,8/11/2026
10611,64021/1,2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,,1000ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"189,615",16.67,,2.12,,,8/11/2026
11143,9623/1,2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,,1000ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"247,074",16.67,,2.76,,,8/11/2026
12178,115524/1,2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,,500ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"189,615",16.67,,2.12,,,8/11/2026
7212,168141/10,20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP,,1000ml PVC Bags 2 entries,Injection,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"305,682",16.67,,3.42,,,8/11/2026
9378,93016/1,20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP,,250ml PVC Bags 2 entries,Injection,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"252,820",16.67,,2.82,,,8/11/2026
7211,168142/10,20 MEQ POTASSIUM OF 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP,,1000ml PVC Bags 2 entries,Injection,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"252,820",16.67,,2.82,,,8/11/2026
1337,974078/02,3V,,20,Tablet,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"229,797",23.08,A1,2.57,,,8/11/2026
1338,974079/02,3V,,3,Ampoule,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"198,889",23.08,A1,2.22,,,8/11/2026
10612,64121/1,5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,,1000ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"197,659",16.67,,2.21,,,8/11/2026
11144,9523/1,5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,,1000ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"247,074",16.67,,2.76,,,8/11/2026
12176,114824/1,5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,,500ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"201,107",16.67,,2.25,,,8/11/2026
10613,63921/1,5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION,,1000ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"198,808",16.67,,2.22,,,8/11/2026
11145,9423/1,5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION,,1000ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"249,372",16.67,,2.79,,,8/11/2026
12181,115824/1,5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION,,500ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"214,897",16.67,,2.40,,,8/11/2026
10566,52321/1,5% DEXTROSE INJECTION USP,,100ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"163,184",16.67,,1.82,,,8/11/2026
10567,52421/1,5% DEXTROSE INJECTION USP,5%,250ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"163,184",16.67,,1.82,,,8/11/2026
10568,52521/1,5% DEXTROSE INJECTION USP,5%,500ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"175,825",16.67,,1.96,,,8/11/2026
10569,52621/1,5% DEXTROSE INJECTION USP,5%,1000ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"197,659",16.67,,2.21,,,8/11/2026
11146,8723/1,5% DEXTROSE INJECTION USP,,100ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"211,449",16.67,,2.36,,,8/11/2026
11147,8823/1,5% DEXTROSE INJECTION USP,5%,250ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"211,449",16.67,,2.36,,,8/11/2026
11148,8923/1,5% DEXTROSE INJECTION USP,5%,500ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"228,687",16.67,,2.56,,,8/11/2026
11149,9023/1,5% DEXTROSE INJECTION USP,5%,1000ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"247,074",16.67,,2.76,,,8/11/2026
12128,114624/1,5% DEXTROSE INJECTION USP,,50ml non pvc,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"204,554",16.67,,2.29,,,8/11/2026
8733,66316/1,5-FLUOROURACIL EBEWE,1000mg,1,Vial,Khalil Fattal & Fils S.A.L.,Fareva Unterach GmbH,Austria,"653,107",23.08,A1,7.30,Ebewe Pharma GesmbH.NFG.KG,Austria,8/11/2026
